title,price,rating,reviews
"Hulajnoga elektryczna Lohang dla dorosłych, podwójne silniki, akumulator 60 V 38 Ah, zasięg 100 KM, opony 12"", podwójne amortyzatory, podwójne hydrauliczne hamulce tarczowe, składane, nośność 250 kg","6 399,00 zł","4,3 z 5 gwiazdek",Liczba ocen: 7
"HPGAAVD Opony zapasowe do hulajnogi elektrycznej, 10 cali, 10 x 2,125 cm, do Ninebot serii F, antypoślizgowe i odporne na przebicie, opony zapasowe do hulajnogi elektrycznej, przednie i tylne opony","99,99 zł","3,4 z 5 gwiazdek",Liczba ocen: 10
"10 × 2,5 cala opony z pełnej gumy do hulajnogi elektrycznej do Ninebot Max G30 G30P G30LP","189,99 zł","4,6 z 5 gwiazdek",Liczba ocen: 6
"HPGAAVD 10-calowe opony do hulajnogi elektrycznej, 10 × 2,5"", pełne gumowe opony do hulajnogi elektrycznej do Ninebot Max G30 G30P G30LP","189,99 zł","5,0 z 5 gwiazdek",Liczba ocen: 3
"Xiaomi Electric Scooter 4 Serie (DE) składana hulajnoga elektryczna z dopuszczeniem do ruchu drogowego i maks. 20 km/h – zasięg do 60 km, podwójny system hamowania, wyświetlacz LED i ustawienia","1 749,43 zł","4,1 z 5 gwiazdek",Liczba ocen: 227
"Razor Youth Powercore E100 hulajnoga elektryczna, czerwona, rozmiar uniwersalny","576,99 zł","3,5 z 5 gwiazdek",Liczba ocen: 186
"Hulajnoga elektryczna dla dorosłych, 21.6 cm, składana hulajnoga elektryczna z podwójnym systemem hamulcowym i sterowaniem aplikacją, czarna","914,99 zł",Poprzednia powiązana strona Sponsored Products,
"Segway-Ninebot KickScooter F20D, Elektryczna Hulajnoga dla Dorosłych, maks. 20 km/h, 20 km zasięgu","999,00 zł","3,7 z 5 gwiazdek",Liczba ocen: 130
"Segway-Ninebot F2 D, elektryczna hulajnoga z dopuszczeniem do ruchu drogowego dla dorosłych","2 014,00 zł","4,1 z 5 gwiazdek",Liczba ocen: 273
"Składana Hulajnoga Elektryczna dla dorosłych G2/S9/S13, Maksymalną moc 800/1000/1600W, Bateria 48V 10.4/13/20,8Ah, Electric Scooter Obciążenie 130-150KG","1 911,00 zł","4,6 z 5 gwiazdek",Liczba ocen: 35
"Xiaomi Uniseks 4 Go It BHR7127DE Hulajnoga, Czarny, Do 110kg","1 445,26 zł","4,0 z 5 gwiazdek",Liczba ocen: 239
"Motus Scooty 10"" LITE 2022 Hulajnoga Elektryczna | Zasięg 30 km | 36V 7.8Ah 280Wh | Hulajnoga Elektryczna dla dorosłych i dzieci | Koła 10 cali | 3 poziomy prędkości | Ekran LCD","1 233,32 zł","3,9 z 5 gwiazdek",Liczba ocen: 4
"Segway-Ninebot E2 D II – E hulajnoga z dopuszczeniem do ruchu drogowego, z zawieszeniem i kierunkowskazem, moc 20 km/h, moc 450 W, zasięg 25 km, nośność 90 kg, hulajnoga elektryczna dla dorosłych,","1 057,39 zł przy oszczędności rzędu 5%","3,9 z 5 gwiazdek",Liczba ocen: 42
"Skuter elektryczny z dopuszczeniem do ruchu drogowego, 10 cali, maks. zasięg 40 km 20 km/h, komfortowa amortyzacja uderzeń, hulajnoga elektryczna do 120 kg, połączenie z aplikacją, wyświetlacz LED,","1 537,03 zł","3,5 z 5 gwiazdek",Liczba ocen: 3
"Skuter elektryczny Ninebot by Segway, Seria F","1 395,04 zł","4,1 z 5 gwiazdek",Liczba ocen: 42
"Xiaomi Electric Scooter (DE) składana hulajnoga elektryczna z aluminium lotniczego, dopuszczona do ruchu drogowego i połączeniem urządzenia (maks. 20 km/h, długi zasięg, szerokie opony pneumatyczne,","2 999,00 zł","3,9 z 5 gwiazdek",Liczba ocen: 253
"Składana hulajnoga elektryczna dla dorosłych, akumulator 10,4 Ah klasy A, zasięg 25 ~ 35 km, połączenie APP, zamek Donate i uchwyt na telefon komórkowy","1 039,45 zł","3,7 z 5 gwiazdek",Liczba ocen: 99
"Urbanvoy Elektryczna hulajnoga dziecięca 6-12 lat, składana hulajnoga elektryczna dla dzieci, 3 tryby regulacji, maksymalna prędkość 130 W, 14 km/h, wyświetlacz LED i kolorowe światła, prezent dla","750,00 zł",Poprzednia powiązana strona Sponsored Products,
"TODIMART Składana Hulajnoga Elektryczna S9, Maksymalną 1000W, Zakres 70-90KM, Bateria 48V 20,8Ah, Electric Scooter Obciążenie 130-150KG/ i Elektrycznymi Zamkami Drzwi","2 328,00 zł","4,4 z 5 gwiazdek",Liczba ocen: 75
"Denver SEL-65220 hulajnoga elektryczna z aluminiową ramą i silnikiem elektrycznym 300 W, kolor limonkowy","863,85 zł",Poprzednia powiązana strona Sponsored Products,
"REEZER - Lusterko rowerowe - Lusterko rowerowe elektryczne - Lusterko hulajnogi elektrycznej - Wysokiej klasy, kompatybilne ze wszystkimi modelami - Odblaskowe - LEWY","79,00 zł","4,6 z 5 gwiazdek",Liczba ocen: 1 784
"Hulajnówka Elektryczna Urządzenie Hamulca Przedniego Koła, Hamulca Hamulca Tarczowego RAGPORPOOR Hamurek Tarczowy dla M5 Scooter","50,64 zł",Poprzednia powiązana strona Sponsored Products,
"Elektryczna klamra do hulajnogi, 2,8 * 1,97 * 1,97 cala czarna plastikowa klamra do hulajnogi, części do skuterów elektrycznych dla profesjonalnych miłośników skuterów na świeżym powietrzu","5,17 zł",Poprzednia powiązana strona Sponsored Products,
"Keenso Opona elektryczna, czarna, 9 x 3,50 – 4, do użytku wewnątrz i na zewnątrz, zestaw kombinacji, hulajnoga elektryczna, trwała gumowa opona zewnętrzna","86,61 zł",Poprzednia powiązana strona Sponsored Products,
Razor E90 Electric Scooter Power,,"4,1 z 5 gwiazdek",Liczba ocen: 1 113
"TODIMART S9 hulajnoga elektryczna dla dorosłych, silnik 1000 W 48 V 20,8 Ah Autonomia do 70-90 km maksymalne obciążenie 150 kg opony terenowe 10"", z elektronicznymi zamkami/składanymi","2 328,00 zł","4,8 z 5 gwiazdek",Liczba ocen: 60
"Segway-Ninebot D38D, Elektryczna Hulajnoga dla Dorosłych, maks. 20 km/h, 38 km zasięgu","1 511,99 zł","4,1 z 5 gwiazdek",Liczba ocen: 80
"Składany Skuter Elektryczny KuKirin G2 MAX z Oponami 10x2,75 Cala, Silnik Bezszczotkowy 1000 W, Akumulator 48V 20 Ah, Maksymalny Zasięg 80KM","2 999,00 zł","5,0 z 5 gwiazdek",Liczba ocen: 2
"Skuter elektryczny z dopuszczeniem do ruchu drogowego, opony pneumatyczne 10 cali z podwójnym systemem amortyzacji uderzeń, akumulator 12,5 Ah, zasięg 60-70 km, tablica rozdzielcza, maksymalna nośność","2 636,90 zł","4,3 z 5 gwiazdek",Liczba ocen: 58
"Razor Youth Powercore S80 hulajnoga elektryczna, uniseks","500,35 zł","2,7 z 5 gwiazdek",Liczba ocen: 17
"TODIMART Składana hulajnoga elektryczna dla dorosłych S7/S9/S13 maksymalną moc 1000/1600W bateria 45-85km 48V 13Ah/20,8Ah 10-offroad Skuter elektryczny obciążenie 130kg (Key Start)","1 911,00 zł","4,1 z 5 gwiazdek",Liczba ocen: 27
"Elektryczne hulajnogi dla dorosłych z podwójnym zawieszeniem, zakres 30 km/long, konfiguracja 3 prędkości, sterowanie aplikacją","1 199,66 zł","4,0 z 5 gwiazdek",Liczba ocen: 10
"Hulajnoga elektryczna KUKIRIN G2 Master dla dorosłych, akumulator 52 V 20,8 Ah na zasięg 70 km podwójny silnik zawieszenie hydrauliczne o mocy 500 W, 10-calowy skuter elektryczny z oponami terenowymi","3 840,15 zł","4,3 z 5 gwiazdek",Liczba ocen: 12
